"(35, 40)",Male,*,*,Adm-clerical
"(35, 40)",Male,*,*,Handlers-cleaners
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Farming-fishing
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Other-service
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Adm-clerical
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Other-service
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Transport-moving
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Adm-clerical
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Transport-moving
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Protective-serv
"(35, 40)",Male,*,*,Adm-clerical
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Transport-moving
"(35, 40)",Male,*,*,Transport-moving
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Tech-support
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Other-service
"(35, 40)",Male,*,*,Tech-support
"(35, 40)",Male,*,*,Protective-serv
"(35, 40)",Male,*,*,Machine-op-inspct
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Farming-fishing
"(35, 40)",Male,*,*,Exec-managerial
"(35, 40)",Male,*,*,Handlers-cleaners
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Sales
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Prof-specialty
"(35, 40)",Male,*,*,Craft-repair
"(35, 40)",Male,*,*,Handlers-cleaners
"(35, 40)",Male,*,*,Farming-fishing
"(35, 40)",Male,*,*,Farming-fishing
"(35, 40)",Male,*,*,Craft-repair
